Country Name,Country_Group,"Unemployment, total (% of total labor force) (modeled ILO estimate)",GDP growth (annual %),"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","Inflation, consumer prices (annual %)",Urban population (% of total population),Trade Openess (% of GDP),Gross capital formation (% of GDP),,
"Korea, Rep.",Developed,2.857,2.612672,12.433,74.071,5.089514,81.427,96.53640929,19.1602,,
Latvia,Developing,6.815,2.954732,6.642,70.471,17.31028,68.54,159.8267195,33.18136,,
Lebanon,Developing,11.599,-0.62168,15.274,77.651,171.2055,89.262,114.8882783,25.03689,,
Libya,Underdeveloped,19.319,1.336148,23.782,50.374,4.510301,81.302,156.3216847,1.225171,,
Lithuania,Developing,5.956,2.440175,50.599,50.854,19.70505,68.465,175.6516122,22.98973,,
Luxembourg,Developed,4.585,1.380186,11.916,78.503,6.336008,91.881,388.5136684,26.91364,,
Madagascar,Underdeveloped,3.186,3.796199,17.652,74.148,8.16059,39.882,68.85418352,17.74577,,
Malaysia,Developing,3.93,8.650344,5.65,86.407,3.378699,78.214,146.5054183,20.66585,,
Malta,Developing,2.929,8.075539,12.551,69.401,6.153756,94.875,243.6743299,23.50618,,
Mali,Underdeveloped,3.09,3.474952,8.414,79.85,9.621476,45.437,73.4634225,26.01878,,
Mauritius,Developing,6.322,8.879885,4.177,68.01,10.77375,40.81,118.3398285,18.86135,,
Mexico,Developing,3.256,3.949,21.764,64.163,7.896276,81.3,88.38708948,20.42441,,
Moldova,Developing,0.909,-5.01548,6.51,65.446,28.7373,43.173,110.7339656,22.70474,,
Mongolia,Developing,6.211,5.03271,2.818,73.629,15.14796,68.93,136.3279299,25.85671,,
Morocco,Developing,9.53,1.258544,11.536,64.12,6.657042,64.596,101.1323821,42.3321,,
Namibia,Developing,19.748,5.349664,23.207,47.7,6.081281,53.956,99.10815987,30.30407,,
Nepal,Developing,10.922,5.631315,38.578,60.406,7.650792,21.451,48.97340148,19.99089,,
Netherlands,Developed,3.524,4.328918,20.542,42.672,10.00121,92.886,184.1074843,37.64385,,
New Zealand,Developed,3.297,2.774843,7.91,83.04,7.172225,86.884,54.08691898,21.2324,,
Nicaragua,Developing,4.978,3.752285,9.313,82.85,10.46742,59.556,115.3393739,25.7866,,
Norway,Developed,3.233,3.005635,9.655,67.912,5.764123,83.664,82.60518658,21.78127,,
Oman,Developing,1.514,4.311254,0.846,74.361,2.506143,87.75,100.5845399,29.62081,,
Pakistan,Developing,5.548,4.76754,9.981,80.361,19.87386,37.731,33.03135348,21.694,,
Paraguay,Developing,6.755,0.176038,7.097,69.976,9.765567,62.818,73.73790502,22.41,,
Philippines,Developing,2.598,7.580982,9.678,55.05,5.821158,47.977,72.42968361,15.38645,,
Portugal,Developed,6.011,6.827511,14.53,74.011,7.832691,67.381,101.3641473,27.68644,,
Poland,Developing,2.886,5.637567,6.739,61.725,14.42945,60.134,123.0213329,24.68586,,
Qatar,Developing,0.13,4.208871,19.004,76.368,4.995276,99.318,100.2136472,20.65125,,
Romania,Developing,5.614,4.107027,10.625,73.222,13.79549,54.489,93.62156249,22.09768,,
Russian Federation,Developing,3.867,-2.06971,0.613,89.623,13.75,75.126,43.25870482,30.66116,,
Rwanda,Underdeveloped,15.085,8.157734,22.595,65.936,17.68921,17.721,61.14508,27.05855,,
Samoa,Underdeveloped,9.923,-5.30629,14.376,75.528,10.96188,17.616,64.98318033,22.79293,,
Saudi Arabia,Developing,5.589,7.485984,22.178,62.133,2.474074,84.729,63.51366792,25.74182,,
Serbia,Developing,8.684,2.549956,20.046,57.563,11.98151,56.873,131.9376424,34.81276,,
Singapore,Developed,3.591,3.838077,16.001,63.067,6.12106,100,332.9813699,26.4274,,
Slovenia,Developed,4.013,2.460783,24.254,73.206,8.833699,55.751,186.219595,26.51252,,
South Africa,Developing,28.838,1.910406,8.393,79.262,7.039727,68.335,64.78300213,22.31893,,
Spain,Developed,12.917,5.770648,10.134,76.61,8.390576,81.304,78.62756246,24.2804,,
Sri Lanka,Developing,6.33,-7.34676,49.826,60.824,49.7211,19.026,46.68144148,15.37876,,
Sudan,Underdeveloped,7.53,-0.95782,29.784,74.1,138.8085,35.956,2.698834436,21.48135,,
Sweden,Developed,7.392,2.6632,25.237,56.115,8.369291,88.492,105.8550153,28.60329,,
Switzerland,Developed,4.3,2.568328,12.959,49.81,2.835028,74.092,140.1695488,2.178264,,
Tajikistan,Underdeveloped,6.981,8,21.676,83.403,6.64,27.968,65.43551159,28.48518,,
Tanzania,Underdeveloped,2.609,4.566006,7.5,83.231,4.350272,36.682,35.00345171,24.53738,,
Thailand,Developing,0.94,2.462769,16.866,42.578,6.077412,52.889,132.856382,35.4675,,
Turkiye,Developing,10.432,5.533469,3.494,82.317,72.30884,77.022,81.17012969,41.06776,,
Uganda,Underdeveloped,2.93,4.588022,5.368,76.455,7.195789,26.159,34.50530193,27.82913,,
Ukraine,Developing,24.5,-28.7586,19.255,58.314,20.18364,69.919,87.39651399,35.03994,,
United Kingdom,Developed,3.73,4.345229,4.599,70.672,7.922049,84.398,68.88053014,24.20134,,
United States,Developed,3.65,1.935496,19.11,54.64,8.0028,83.084,26.89168983,12.11329,,
Uzbekistan,Developing,4.535,5.668817,10.51,77.552,11.44664,50.466,63.8692534,18.60341,,
Viet Nam,Developing,1.535,8.123514,8.095,72.675,3.156507,38.766,183.7895411,21.88231,,
Zimbabwe,Underdeveloped,10.087,6.522375,25.311,75.365,104.7052,32.395,64.76360814,18.91748,,
Kuwait,Developing,2.124,6.138253,11.024,60.457,3.98065,100,90.70223034,37.4804,,
Turkmenistan,Underdeveloped,4.121,6.2,5.903,78.399,11.2,53.494,37.36095096,32.5681,,
United Arab Emirates,Developing,2.873,7.850418,16.747,66.89,4.827889,87.543,188.9454617,14.65389,,
